Date,Name,Tags,Project,Description
2024/10/31 7:00 (JST) → 7:15,morning,Life,,
2024/10/31 5:15 (JST) → 7:00,数理計画と最適化2 / 復習 > 教科書p.196-227,"Input, Productive","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ","エージェントアプローチ人工知能 第2版 (https://www.notion.so/2-1147ef7cacf1809eaf46f989966cd230?pvs=21) "
2024/10/31 5:00 (JST) → 5:15,morning,Life,,
2024/10/30 23:15 (JST) → 2024/10/31 0:00 (JST),dinner and shower / 2430就寝,Life,,
2024/10/30 22:00 (JST) → 23:15,transfer / 流体力学,"Review, Tranfer","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2024/10/30 21:45 (JST) → 22:00,流体力学 / 復習,"Productive, Review","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2024/10/30 20:30 (JST) → 21:45,数理計画と最適化 / 復習：命題論理,"Input, Output, Productive, Review","数理計画と最適化２／Mathematical Programming and Optimization 2 (https://www.notion.so/Mathematical-Programming-and-Optimization-2-1137ef7cacf180509189cc5588a3762a?pvs=21) ","命題論理 (https://www.notion.so/41205dd422dc45679a2e4adbb9366376?pvs=21) "
2024/10/30 19:30 (JST) → 20:30,Today's Recap / プラズマ理工学、Heat Transfer、電磁エネルギー基礎、数理手法Ⅱ,"Output, Productive, Review, Today's Recap",,
2024/10/30 18:45 (JST) → 19:30,プラズマ理工学復習,,"プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2024/10/30 16:50 (JST) → 18:45,数理手法II / エネルギーカスケード、熱対流,"Input, Lecture, Productive","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2024/10/30 14:55 (JST) → 16:40,電磁エネルギー基礎,"Input, Lecture, Output, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
